PODREKAR  Nastja,Yes,,Slovenia,
LIPOVAC  Dean,Yes,,Slovenia,
JORDAN  Sabina,No,,Slovenia,
BURNARD  Michael David,Yes,,Slovenia,
ŠARABON  Nejc,Yes,,Slovenia,
MRISSA  Michael,Yes,,Slovenia,
TOŠIĆ  Aleksandar,Yes,,Slovenia,
HROVATIN  Niki,Yes,,Slovenia,
ASLAM  Sidra,Yes,,Slovenia,
DÁVID Balázs,Yes,,Hungary,Slovenia
HAJDU László,Yes,,Hungary,Slovenia
KRÉSZ Miklós Ferenc,Yes,,Hungary,Slovenia
BRODNIK  Andrej,No,,Slovenia,
KAVŠEK  Branko,No,,Slovenia,
VIČIČ  Jernej,No,,Slovenia,
MANOJLOVIĆ  Denisa,No,,Slovenia,
ZORKO  Martin,No,,Slovenia,
SPUDIĆ  Darjan,No,,Slovenia,
PONNUCHAMY  Veerapandian,Yes,,Slovenia,
ESAKKIMUTHU  Esakkiammal Sudha,Yes,,Slovenia,
MAJSTOROVIĆ  Filip,Yes,,Slovenia,
SEBERA  Václav,Yes,,Slovenia,Czech Republic
MRAK  Maruša,No,,Slovenia,
DOLENEC  Sabina,No,,Slovenia,
WOLF  Marco,No,,Germany,
MARROT  Laetitia Sarah Jennifer,Yes,,Slovenia,
CIPOLLETTA  Sabrina,No,,Italy,
ENTILLI  Lorenza,No,,Italy,
BETTIO  Fabio,No,,Italy,
DE Leo  Diego,Yes,,Slovenia,
TRAJKOVIĆ  Nebojša,No,,Serbia,
KOZINC  Žiga,No,,Slovenia,
SMAJLA  Darjan,Yes,,Slovenia,
PEETERS  Kelly,Yes,,Slovenia,
TAMAYO Tenorio  Angelica,No,,Denmark,
AZAMBUJA  Rafael,No,,United States,
DEVALLANCE  David Brian,Yes,,Slovenia,United States
MCNEEL  Joseph,No,,United States,
GORJAN  Daša,No,,Slovenia,
BABIČ  Jan,No,,Slovenia,
PLEŠA  Jernej,No,,Slovenia,
KOZINC  Žiga,No,,Slovenia,
MOOSES  Kerli,No,,Estonia,
GUARDADO  Diana  et al,No,,Portugal,
KOZINC  Žiga,No,,Slovenia,
MARKOVIĆ  Goran,No,,Croatia,
JANOVKY  Vit,No,,Czech Republic,
PIORECKY  Marek,No,,Czech Republic,
VCELAK  Jan,Yes,,Slovenia,Czech Republic
KROHNE  Nina,No,,Slovenia,
GOMBOC  Vanja,No,,Slovenia,
LAVRIČ  Meta,No,,Slovenia,
PODLOGAR  Tina,No,,Slovenia,
POŠTUVAN  Vita,No,,Slovenia,
ŠEDIVY  Nuša,No,,Slovenia,
KAVKLER  Katja,No,,Slovenia,
HUMAR  Miha,No,,Slovenia,
KRŽIŠNIK  Davor,No,,Slovenia,
TURK  Martina,No,,Slovenia,
TAVZES  Črtomir,Yes,,Slovenia,
GOSTINČAR  Cene,No,,Slovenia,
DŽEROSKI  Sašo,No,,Slovenia,
POPOVIC  Stefan,No,,Slovenia,
PENKO  Ana,No,,Slovenia,
GUNDE-CIMERMAN  Nina,No,,Slovenia,
ZALAR  Polona,No,,Slovenia,
ZERBO ŠPORIN  Dorjana,No,,Slovenia,
KOZINC  Žiga,No,,Slovenia,
PRIJON  Ticijana,No,,Slovenia,
ČEKLIĆ  Urška,No,,Slovenia,
KOZINC  Žiga,No,,Slovenia,
SAJINČIČ  Nežka,Yes,,Slovenia,
SANDAK  Anna Malgorzata,Yes,,Slovenia,
ISTENIČ  Andreja,No,,Slovenia,
SOLMI  Marco,No,,Canada,United Kingdom
ESTRADÉ  Andrés,No,,United Kingdom,Uruguay
THOMPSON  Trevor,No,,United Kingdom,
AGORASTOS  Agorastos,No,,Greece,
RADUA  Joaquim,No,,United Kingdom,Spain
BRAND  Serge,No,,Switzerland,
SOMMER  Iris E,No,,Netherlands,
GUINART  Daniel,No,,United States,Spain
BALAZS  Judit  et al,No,,Hungary,Norway
TRAJKOVIĆ  Nebojša,No,,Serbia,
KOZINC  Žiga,No,,Slovenia,
MANOJLOVIĆ  Denisa,No,,Slovenia,
PROSEN  Mirko,No,,Slovenia,
PLEŠA  Jernej,No,,Slovenia,
KOZINC  Žiga,No,,Slovenia,
ORŁOWSKI  Kazimierz A,No,,Poland,
CHUCHAŁA  Daniel,No,,Poland,
SZCZEPANSKI  Marcin,No,,Poland,
MIGDA  Wojciech,No,,Poland,
WOJNICZ  Wiktoria,No,,Poland,
SANDAK  Jakub Michal,Yes,,Slovenia,
KOZINC  Žiga,No,,Slovenia,
SLAVEC  Ana,Yes,,Slovenia,
STRØMMEN Wie  Sølvi Therese,No,,Norway,
NYRUD  Anders Q,No,,Norway,
HOYOS-MARTINEZ  Pedro L,No,,Spain,France
ISSAOUI  Hamed,No,,France,
HERRERA Diaz  Rene,Yes,,Spain,
LABIDI  Jalel,No,,Spain,
CHARRIER-EL BOUHTOURY  Fatima,No,,France,
EGRI  Péter,No,,Hungary,
DÁVID Balázs,Yes,,Slovenia,
KIS  Tamás,No,,Hungary,
KRÉSZ Miklós Ferenc,Yes,,Slovenia,
KOZINC  Žiga,No,,Slovenia,
BABIČ  Jan,No,,Slovenia,
GONZÁLEZ  Elmeua Marc,No,,Slovenia,
NUNES  Leonel J R,No,,Portugal,
MATIAS  JoÁo C O,No,,Portugal,
LOUREIRO  Liliana M E F,No,,Portugal,
SÁ  Letícia C R,No,,Portugal,
SILVA  Hugo F C,No,,Portugal,
RODRIGUES  Abel M,No,,Portugal,
CAUSER  Thomas P,No,,United States,
DEVALLANCE  David Brian,Yes,,Slovenia,
CIOLKOSZ  Daniel E,No,,United States,
KOZLOVIČ  Peter,No,,Slovenia,
FONDA  Borut,No,,Slovenia,
FONDA  Borut,No,,Slovenia,
BABIČ  Jan,No,,Slovenia,
MARUŠIČ  Jan,No,,Slovenia,
MARKOVIĆ  Goran,No,,Slovenia,
SPUDIĆ  Darjan,No,,Slovenia,
CVITKOVIČ  Robert,No,,Slovenia,
SPUDIĆ  Darjan,No,,Slovenia,
KOZINC  Žiga,No,,Slovenia,
JELUŠIČ  Aleksandra,No,,Serbia,
POPOVIĆ  Tatjana,No,,Serbia,
DIMKIĆ  Ivica,No,,Serbia,
MITROVIĆ  Petar,No,,Serbia,
MIKLAVČIČ VIŠNJEVEC  Ana,No,,Slovenia,
STANKOVIĆ  Slaviša,No,,Serbia,
BERIĆ  Tanja,No,,Serbia,
KAMBIČ  Tim,No,,Slovenia,
HADŽIĆ  Vedran,No,,Slovenia,
LAINŠČAK  Mitja,No,,Slovenia,
KASTELIC  Kaja,Yes,,Slovenia,
PEDIŠIĆ  Željko,No,,Australia,
KASTELIC  Nika,No,,Slovenia,
CHEN  Si-Tong,No,,Australia,
BU  He,No,,China,
HE  Ai,No,,China,
GONG  Na,No,,China,
HUANG  Liuyue,No,,China,
LIANG  Kaixin,No,,China,
MA  Jiani,No,,United Kingdom,
LIU  Yang,No,,China,
CHEN  Si-Tong,No,,China,
XINLI  Chi,No,,China,
KOZINC  Žiga,No,,Slovenia,
KOVČAN  Bogdan,No,,Slovenia,
ŠIMENKO  Jožef,No,,United Kingdom,
PORI  Primož,No,,Slovenia,
VODIČAR  Janez,No,,Slovenia,
HADŽIĆ  Vedran,No,,Slovenia,
KAMBIČ  Tim,No,,Slovenia,
HADŽIĆ  Vedran,No,,Slovenia,
LAINŠČAK  Mitja,No,,Slovenia,
DE Leo  Diego,Yes,,Australia,
GOODFELLOW  Benjamin,No,,Australia,
SILVERMAN  Morton M,No,,United States,
BERMAN  Alan Lee,No,,United States,
MANN  John J,No,,United States,
ARENSMAN  Ella,No,,Ireland,
HAWTON  Keith,No,,United Kingdom,
PHILLIPS  M R,No,,China,United States
VIJAYAKUMAR  Lakshmi,No,,India,
ANDRIESSEN  Karl,No,,Australia,
KÖLVES  Kairi  et al,,,Australia,
LEGAN  Lea,No,,Slovenia,
RETKO  Klara,No,,Slovenia,
KAVČIČ  Maša,No,,Slovenia,
KOSEL  Janez P,No,,Slovenia,
OOHPHAJAI  Faksawat,Yes,,Slovenia,Finland
HERRERA Diaz  Rene,Yes,,Slovenia,Spain
GORDOBIL  Oihana,Yes,,Slovenia,
ROPRET  Polonca,No,,Slovenia,
NOËL  Marion,No,,Switzerland,
DIMITRIOU  Athanasios,No,,United Kingdom,
CHUCHAŁA  Daniel,No,,Poland,
ORŁOWSKI  Kazimierz A,No,,Poland,
EGGERTSSON  Olafur,No,,Iceland,
LANDOWSKI  Michal,No,,Poland,
POOHPHAJAI  Faksawat,Yes,,Slovenia,Finland
SAILER  Michael,No,,Netherlands,
RAUTKARI  Lauri,No,,Finland,
BELT  Tiina,No,,Finland,
FÖLDVÁRI-NAGY  Edit,Yes,,Slovenia,
GOMBOC  Vanja,No,,Slovenia,
KROHNE  Nina,No,,Slovenia,
LAVRIČ  Meta,No,,Slovenia,
PODLOGAR  Tina,No,,Slovenia,
POŠTUVAN  Vita,No,,Slovenia,
ŠEDIVY  Nuša,No,,Slovenia,
NIEMZ  Peter,No,,Switzerland,Sweden
HÄNSEL  Andreas,No,,Germany,
MAI  Juana,No,,Switzerland,Germany
SIMMONS  Amy Noel,Yes,,Slovenia,
HAWGOOD  Jacinta L,No,,Australia,
OWNSWORTH  Tamara,No,,Australia,
MASON  Helen,No,,Australia,
SPENCE  Susan H,No,,Australia,
ARENSMAN  Ella,No,,Australia,Ireland
GROSSELLI  Luna,No,,Germany,
HERZOG  Kristina,No,,Germany,
ASELTINE  Robert H,No,,United States,
BALAZS  Judit,No,,Hungary,Norway
CARLI  Vladimir,No,,Sweden,
CIFFONE  Jerry,No,,United States,
DE Leo  Diego,Yes,,Australia,Slovenia
FELTZ-CORNELIS  Christina M,No,,United Kingdom,
HAWTON  Keith,No,,United Kingdom,
HEGERL  Ulrich,No,,Germany,
KÖLVES  Kairi,No,,Australia,
KUTCHER  Stanley P,No,,Canada,
MEHLUM  Lars,No,,Norway,
NIEDERKROTENTHALER  Thomas,No,,Austria,
REZAEIAN  Mohsen Rezaeian  et al,No,,Iran,
ŽITNIK  Jure,Yes,,Slovenia,
TROŠT  Andrej,No,,Slovenia,
JAMŠEK  Marko,No,,Slovenia,
BABIČ  Jan,No,,Slovenia,
BUKOVSZKI  Viktor,No,,Hungary,
PEČNIK  Jaka Gašper,Yes,,Slovenia,
GAVRIĆ  Igor,Yes,,Slovenia,
SEBERA  Václav,Yes,,Slovenia,
KRŽAN  Meta,No,,Slovenia,
KWIECIEŃ  Arkadiusz,No,,Poland,
ZAJĄC  BogusŁaw,No,,Poland,
AZINOVIĆ  Boris,No,,Slovenia,
KOZINC  Žiga,No,,Slovenia,
ČEKLIĆ  Urška,No,,Slovenia,
KUTNAR  Andreja,Yes,,Slovenia,
O'DELL  Jane,No,,United States,
HUNT  Christopher,No,,United States,
FRIHART  Charles R,No,,United States,
KAMKE  Frederick A,No,,United States,
SCHWARZKOPF  Matthew,Yes,,Slovenia,
KNEZ  Friderik,No,,Slovenia,
URŠIČ  Matija,No,,Slovenia,
KNEZ  Nataša,No,,Slovenia,
FRANKO  Mladen,No,,Slovenia,
ZIDAR  Primož,No,,Slovenia,
ICE  George G,No,,United States,
HALE  V Cody,No,,United States,
LIGHT  Jeffrey T,No,,United States,
MULDOON  Ariel,No,,United States,
KOZINC  Žiga,No,,Slovenia,
PLEŠA  Jernej,No,,Slovenia,
KOZINC  Žiga,No,,Slovenia,
OGRIN  Jan,No,,Slovenia,
KJAER MADSEN  Mads,No,,Denmark,
KERSTING  Uwe,No,,Denmark,Germany
HOLMBERG  Hans-Christer,No,,Sweden,China
SUPEJ  Matej,No,,Slovenia,Sweden
KOZINC  Žiga,No,,Slovenia,
TRAJKOVIĆ  Nebojša,No,,Serbia,
HAWGOOD  Jacinta L,No,,Australia,
DE Leo  Diego  et al,Yes,,Australia,
KOZINC  Žiga,No,,Slovenia,
TRAJKOVIĆ  Nebojša,No,,Serbia,
VERONESE  Nicola,No,,Italy,
GALVANO  Daiana,No,,Italy,
D'ANTIGA  Francesca,No,,Italy,
VECCHIATO  Chiara,No,,Italy,
FUREGON  Eva,No,,Italy,
ALLOCCO  Raffaella,No,,Italy,
SMITH  Lee,No,,United Kingdom,
GELMINI  Giovanni,No,,Italy,
GARERI  Pietro,No,,Italy,
MILITZ  Holger,No,,Germany,
SCHWAGER  Hannes,No,,Germany,
NEYSES  Benedikt,No,,Sweden,
BUCK  Dietrich,No,,Sweden,
RAUTKARI  Lauri,No,,Finland,
SANDBERG  Dick,No,,Sweden,
AZINOVIĆ  Boris,No,,Slovenia,
MILCH  Jaromír,No,,Czech Republic,
HUČ  Sabina,No,,Slovenia,
SMEDS  Annika,No,,Finland,
RAHKILA  Jani,No,,Finland,
WILLFÖR  Stefan,No,,Finland,
KOZINC  Žiga,No,,Slovenia,
BABIČ  Jan,No,,Slovenia,
SEVER  Jernej,No,,Slovenia,
BABIČ  Jan,No,,Slovenia,
KOZINC  Žiga,No,,Slovenia,
SPUDIĆ  Darjan,No,,Slovenia,
TESTONI  Ines,No,,Italy,Israel
PIOL  Silvia,No,,Italy,
HAWGOOD  Jacinta L,No,,Australia,
KRYSINSKA  Karolina,No,,Australia,
MOONEY  Maddeline,No,,Australia,
OZOLS  Ingrid,No,,Australia,
ANDRIESSEN  Karl,No,,Australia,
BETTERRIDGE  Carmen,No,,Australia,
KÖLVES  Kairi,No,,Australia,
KOZINC  Žiga,No,,Slovenia,
PLEŠA  Jernej,No,,Slovenia,
ENTILLI  Lorenza,No,,Australia,Italy
ROSS  Victoria,No,,Australia,
CIPOLLETTA  Sabrina,No,,Italy,
KÖLVES  Kairi,No,,Australia,
AI  Kang,No,,China,
CURTIN  Kimberley,No,,Canada,
CLARK  Cain,No,,United Kingdom,
CHEN  Si-Tong,No,,Australia,
XINLI  Chi,No,,China,
KOZINC  Žiga,No,,Slovenia,
LAVRIČ  Meta,No,,Slovenia,
GOMBOC  Vanja,No,,Slovenia,
KROHNE  Nina,No,,Slovenia,
PODLOGAR  Tina,No,,Slovenia,
POŠTUVAN  Vita,No,,Slovenia,
ŠEDIVY  Nuša,No,,Slovenia,
KOZINC  Žiga,No,,Slovenia,
SOLMI  Marco,No,,Canada,United Kingdom
KOZINC  Žiga,No,,Slovenia,
QUINTANA-GALLARDO  Alberto,No,,Spain,
SCHAU  Erwin Andreas Meissner,Yes,,Slovenia,
PRELOVŠEK NiemelÁ¤  Eva,Yes,,Slovenia,
PAPA  Ilaria,No,,Italy,
EL Hassanin  A,No,,Italy,
LANGELLA  Tania,Yes,,Italy,
LOPRESTO  Valentina,No,,Italy,
ŠEDIVY  Nuša,No,,Slovenia,
POŠTUVAN  Vita,No,,Slovenia,
ŽVELC  Gregor,No,,Slovenia,
AMADÉO  Stéphane,No,,France,
REREAO  Moerani,No,,France,
BEAUCHAMP  Guy,No,,Canada,
FAVRO  Patrick,No,,France,
MALOGNE  Aurelia,No,,France,
GOODFELLOW  Benjamin,No,,France,
JEHEL  Louis,No,,France,
NGUYEN  NgocLam,No,,France,
SEGUIN  Monique,No,,Canada,
FESTUS Alao  Percy,No,,Estonia,
MIKLI  Valdek,No,,Estonia,
